D,H,Beta,J,CT,CP,CQ,RPS
12,5.5,0.458333333,0.137638134,0.087313179,0.041038707,0.006534885,105.0826335
12,5.5,0.458333333,0.137530698,0.086519193,0.040939461,0.006518991,105.1647217
12,5.5,0.458333333,0.137519066,0.087449218,0.040752887,0.006489275,105.1736165
12,5.5,0.458333333,0.136951918,0.083925738,0.040370052,0.006428153,105.6091634
12,5.5,0.458333333,0.137689541,0.086979247,0.040984806,0.006526212,105.0434001
12,5.5,0.458333333,0.137569703,0.087842767,0.041044136,0.006535744,105.134904
12,5.5,0.458333333,0.138070569,0.088390476,0.041353166,0.00658475,104.7535156
12,5.5,0.458333333,0.137508479,0.086451319,0.040806606,0.006498177,105.1817139
12,5.5,0.458333333,0.137913885,0.088633977,0.041419271,0.006595348,104.872526
12,5.5,0.458333333,0.131555268,0.088639474,0.046799194,0.007401707,109.9414551
12,5.5,0.458333333,0.12204206,0.09303215,0.043290115,0.006893459,118.5114177
12,5.5,0.458333333,0.122249653,0.094652383,0.043344108,0.006901967,118.3101725
12,5.5,0.458333333,0.122037769,0.093396191,0.043024776,0.006851154,118.5155843
